condition,leg,n_fibres,mean_area,sd_area,median_area,iqr_area
Condition A,Left,927,1546.2705555555556,800.3017456813016,1443.431,1169.289
Condition A,Right,796,1237.8305075376884,502.7041386061484,1168.122,683.3167499999997
Condition B,Left,944,1581.4290519067797,758.5308578784728,1466.374,980.4989999999998
Condition B,Right,861,1322.1988977932635,526.3433694265549,1263.003,740.3810000000001
Condition C,Left,1018,1707.7240952848722,913.1744387898277,1578.7535,1279.1397499999998
Condition C,Right,962,1234.0881985446986,788.6552353313555,1021.7175,704.7034999999998
