condition,sex,subject,leg,fibre_area,circularity
Condition A,M,11,Left,2938.192,0.761140991
Condition A,M,11,Left,2178.368,0.776118218
Condition A,M,11,Left,472.459,0.85541594
Condition A,M,11,Left,672.331,0.802652939
Condition A,M,11,Left,2863.532,0.745838143
Condition A,M,11,Left,1551.922,0.701788369
Condition A,M,11,Left,1529.369,0.870434344
Condition A,M,11,Left,1745.961,0.724658011
Condition A,M,11,Left,3332.102,0.857544316
Condition A,M,11,Left,2360.742,0.897123859
Condition A,M,11,Left,2270.916,0.915654347
Condition A,M,11,Left,2576.167,0.795915453
Condition A,M,11,Left,3427.761,0.875880948
Condition A,M,11,Left,1348.94,0.85585028
Condition A,M,11,Left,1419.711,0.926802853
Condition A,M,11,Left,3627.244,0.727497167
Condition A,M,11,Left,2843.7,0.858540707
Condition A,M,11,Left,3798.34,0.741034553
Condition A,M,11,Left,2377.851,0.88625898
Condition A,M,11,Left,645.5,0.908300775
Condition A,M,11,Left,1263.003,0.861577872
Condition A,M,11,Left,1115.237,0.809328906
Condition A,M,11,Left,4439.563,0.756444192
Condition A,M,11,Left,442.518,0.695282878
Condition A,M,11,Left,1714.853,0.881839004
Condition A,M,11,Left,1765.793,0.883306028
Condition A,M,11,Left,2139.094,0.753028275
Condition A,M,11,Left,1295.278,0.910536228
Condition A,M,11,Left,3000.02,0.867246218
Condition A,M,11,Left,2253.806,0.801313589
Condition A,M,11,Left,2676.103,0.833314973
Condition A,M,11,Left,1049.132,0.808992928
Condition A,M,11,Left,907.2,0.828606819
Condition A,M,11,Left,3809.228,0.808935775
Condition A,M,11,Left,3416.484,0.866555465
Condition A,M,11,Left,2179.924,0.747403089
Condition A,M,11,Left,874.147,0.937522903
Condition A,M,11,Left,2053.157,0.807832843
Condition A,M,11,Left,2275.582,0.802060925
Condition A,M,11,Left,2611.942,0.828975568
Condition A,M,11,Left,2596.777,0.800012341
Condition A,M,11,Left,993.915,0.730337181
Condition A,M,11,Left,3086.735,0.780987067
Condition A,M,11,Left,2686.214,0.703472595
Condition A,M,11,Left,1593.919,0.634697964
Condition A,M,11,Left,2579.667,0.788054543
Condition A,M,11,Left,1348.162,0.857597719
Condition A,M,11,Left,2298.136,0.811858223
Condition A,M,11,Left,3561.527,0.851105741
Condition A,M,11,Left,285.42,0.925050779
Condition A,M,11,Left,942.197,0.918710553
Condition A,M,11,Left,2121.984,0.883994457
Condition A,M,11,Left,1547.256,0.911636132
Condition A,M,11,Left,1476.873,0.812539699
Condition A,M,11,Left,2863.921,0.808338341
Condition A,M,11,Left,1265.725,0.707563017
Condition A,M,11,Left,438.629,0.747970765
Condition A,M,11,Left,3108.899,0.876353024
Condition A,M,11,Left,2837.478,0.926587662
Condition A,M,11,Left,662.999,0.871099461
Condition A,M,11,Left,635.001,0.830640231
Condition A,M,11,Left,1556.977,0.769480328
Condition A,M,11,Left,1675.189,0.76705332
Condition A,M,11,Left,3776.564,0.663103611
Condition A,M,11,Left,1065.075,0.617366879
Condition A,M,11,Left,2184.979,0.894327941
Condition A,M,11,Left,1995.995,0.881472408
Condition A,M,11,Left,1299.166,0.853514809
Condition A,M,11,Left,843.816,0.763795836
Condition A,M,11,Left,2105.263,0.881611525
Condition A,M,11,Left,1190.287,0.854468843
Condition A,M,11,Left,2626.719,0.719449183
Condition A,M,11,Left,2753.486,0.802461902
Condition A,M,11,Left,2667.937,0.805760488
Condition A,M,11,Left,1118.737,0.696361428
Condition A,M,11,Left,3521.086,0.744619752
Condition A,M,11,Left,1724.574,0.873654731
Condition A,M,11,Left,1700.854,0.773491832
Condition A,M,11,Left,2579.667,0.818181077
Condition A,M,11,Left,1356.328,0.82948551
Condition A,M,11,Left,4332.628,0.826312063
Condition A,M,11,Left,2160.481,0.857385092
