Condition,Sex,Subject,Leg,Fibre_Area,Circularity
Condition A,M,11,L,2718.877,0.783326125
Condition A,M,11,L,1081.407,0.826547683
Condition A,M,11,L,1135.069,0.894905515
Condition A,M,11,L,1466.374,0.922109698
Condition A,M,11,L,2468.843,0.906466517
Condition A,M,11,L,2441.235,0.855312186
Condition A,M,11,L,3671.184,0.887857089
Condition A,M,11,L,3703.071,0.831485042
Condition A,M,11,L,1399.102,0.746642397
Condition A,M,11,L,2462.233,0.892108317
Condition A,M,11,L,1344.662,0.804484305
Condition A,M,11,L,1479.984,0.752564048
Condition A,M,11,L,880.758,0.715244926
Condition A,M,11,L,2662.105,0.882704326
Condition A,M,11,L,1443.431,0.630708169
Condition A,M,11,L,1576.809,0.744392501
Condition A,M,11,L,1773.181,0.86553956
Condition A,M,11,L,2389.517,0.87136777
Condition A,M,11,L,496.957,0.642153298
Condition A,M,11,L,1572.92,0.718914119
Condition A,M,11,L,2299.302,0.830629702
Condition A,M,11,L,784.321,0.722309646
Condition A,M,11,L,3218.557,0.81905208
Condition A,M,11,L,1884.005,0.757998561
Condition A,M,11,L,1042.133,0.752121926
Condition A,M,11,L,593.393,0.910642461
Condition A,M,11,L,1284.001,0.664429839
Condition A,M,11,L,2722.766,0.900457825
Condition A,M,11,L,2163.981,0.876027152
Condition A,M,11,L,2046.546,0.97604344
Condition A,M,11,L,758.268,0.79417088
Condition A,M,11,L,621.002,0.930908394
Condition A,M,11,L,1413.878,0.70328547
Condition A,M,11,L,1286.334,0.678683009
Condition A,M,11,L,1037.855,0.690139409
Condition A,M,11,L,705.773,0.670907757
Condition A,M,11,L,612.836,0.692597796
Condition A,M,11,L,916.921,0.837642766
Condition A,M,11,L,2487.897,0.837289893
Condition A,M,11,L,736.103,0.814192628
Condition A,M,11,L,857.426,0.788810625
Condition A,M,11,L,1710.186,0.827142579
Condition A,M,11,L,771.878,0.806245079
Condition A,M,11,L,2731.71,0.922779172
Condition A,M,11,L,994.303,0.602446439
Condition A,M,11,L,2080.766,0.799505941
Condition A,M,11,L,432.018,0.689661926
Condition A,M,11,L,663.387,0.636258743
Condition A,M,11,L,2056.268,0.894642998
Condition A,M,11,L,2495.674,0.710820942
Condition A,M,11,L,3918.885,0.747898885
Condition A,M,11,L,2338.188,0.775004867
Condition A,M,11,L,2145.704,0.680659296
Condition A,M,11,L,2127.817,0.772635566
Condition A,M,11,L,1887.504,0.689594505
Condition A,M,11,L,1656.524,0.852793112
Condition A,M,11,L,1012.58,0.693013029
Condition A,M,11,R,1446.153,0.818746635
Condition A,M,11,R,1151.012,0.833035655
Condition A,M,11,R,1196.119,0.797734075
Condition A,M,11,R,1220.617,0.816938806
Condition A,M,11,R,1253.67,0.794242139
Condition A,M,11,R,1168.9,0.756024907
Condition A,M,11,R,1323.664,0.864812771
Condition A,M,11,R,1651.469,0.694429589
Condition A,M,11,R,1213.618,0.885347021
Condition A,M,11,R,925.087,0.893099198
Condition A,M,11,R,1292.556,0.895088742
Condition A,M,11,R,1640.192,0.851904285
Condition A,M,11,R,910.311,0.828620107
Condition A,M,11,R,1021.912,0.851834639
Condition A,M,11,R,1037.078,0.839298846
Condition A,M,11,R,1452.764,0.797353898
Condition A,M,11,R,1486.983,0.812929891
Condition A,M,11,R,928.976,0.736274419
Condition A,M,11,R,2135.594,0.933622673
Condition A,M,11,R,1123.015,0.823160221
Condition A,M,11,R,1008.302,0.762443611
Condition A,M,11,R,1368.382,0.834713031
Condition A,M,11,R,587.949,0.875155618
Condition A,M,11,R,973.305,0.931874128
Condition A,M,11,R,373.301,0.823255972
Condition A,M,11,R,1019.19,0.908513267
Condition A,M,11,R,1545.7,0.922239633
Condition A,M,11,R,1003.247,0.856017057
Condition A,M,11,R,774.211,0.75384913
Condition A,M,11,R,988.082,0.892092876
Condition A,M,11,R,1112.127,0.834763479
Condition A,M,11,R,837.595,0.661566767
Condition A,M,11,R,732.993,0.810007781
Condition A,M,11,R,1277.779,0.668465612
Condition A,M,11,R,1044.855,0.903690112
Condition A,M,11,R,1258.336,0.825019515
Condition A,M,11,R,1323.664,0.817233234
Condition A,M,11,R,1232.672,0.823059688
Condition A,M,11,R,926.254,0.775314184
Condition A,M,11,R,1073.241,0.766859075
Condition A,M,11,R,739.992,0.870400394
Condition A,M,11,R,1495.149,0.936358679
Condition A,M,11,R,1070.13,0.682832173
Condition A,M,11,R,774.211,0.835644489
Condition A,M,11,R,1061.575,0.876154649
Condition A,M,11,R,1130.014,0.797914207
Condition A,M,11,R,1637.082,0.686766094
Condition A,M,11,R,1011.024,0.892388305
Condition A,M,11,R,1292.944,0.66525269
Condition A,M,11,R,920.421,0.871053665
Condition A,M,11,R,1814.4,0.790368592
Condition A,M,11,R,1155.29,0.837911408
Condition A,M,11,R,2174.48,0.827678626
Condition A,M,11,R,758.657,0.71905134
Condition A,M,11,R,510.178,0.693660055
Condition A,M,11,R,1063.52,0.684650738
Condition A,M,11,R,920.421,0.90744178
Condition A,M,11,R,849.649,0.891342788
Condition A,M,11,R,808.819,0.85090211
Condition A,M,11,R,1639.804,0.665943779
Condition A,M,11,R,1320.942,0.692985385
Condition A,M,11,R,953.862,0.710249293
Condition A,M,11,R,503.568,0.608975758
Condition A,M,11,R,953.085,0.761854714
Condition A,M,11,R,1039.022,0.715485958
Condition A,M,11,R,1074.408,0.885654834
Condition A,M,11,R,1211.285,0.869240389
Condition A,M,11,R,1256.392,0.812858178
Condition A,M,11,R,1909.669,0.674224766
Condition A,M,11,R,1607.14,0.771119992
Condition A,M,11,R,1840.842,0.706638351
Condition A,M,11,R,1011.413,0.785484659
Condition A,M,11,R,1252.892,0.733209282
Condition A,M,11,R,634.223,0.834417196
Condition A,M,11,R,1275.446,0.81101818
Condition A,M,11,R,1045.632,0.787881826
Condition A,M,11,R,918.865,0.863291551
Condition A,M,11,R,1632.026,0.824110396
Condition A,M,11,R,950.752,0.785643361
Condition A,M,11,R,1273.891,0.691898428
Condition A,M,11,R,510.178,0.706995777
Condition A,M,11,R,1908.114,0.85974257
Condition A,M,11,R,654.833,0.927528452
Condition A,M,11,R,2065.989,0.800204858
Condition A,M,11,R,1567.865,0.74050598
Condition A,M,11,R,819.707,0.625859515
Condition A,M,11,R,1058.465,0.644029295
Condition A,M,11,R,1607.528,0.731296614
Condition A,M,11,R,1332.608,0.643079461
Condition A,M,11,R,2659.771,0.905233306
Condition A,M,11,R,1362.55,0.861739911
Condition A,M,11,R,1304.61,0.801296264
Condition A,M,11,R,821.652,0.763353221
Condition A,M,11,R,866.759,0.760252594
Condition A,M,11,R,920.032,0.931834471
Condition A,M,11,R,1396.769,0.683445497
Condition A,M,11,R,1804.289,0.758697962
Condition A,M,11,R,3076.624,0.745000242
Condition A,M,11,R,2052.768,0.803035787
Condition A,M,11,R,1639.026,0.738640605
Condition A,M,11,R,933.253,0.775453436
Condition A,M,11,R,1425.544,0.780288051
Condition A,M,11,R,1114.071,0.840374303
Condition A,M,11,R,638.89,0.777849498
Condition A,M,11,R,831.373,0.749286035
Condition A,M,11,R,1544.923,0.866550255
Condition A,M,11,R,1846.675,0.846106245
Condition A,M,11,R,948.03,0.886196579
